N,P,K,pH_band,Year1_options,Year2_options,Year3_options,Year4_options
High,High,High,Acidic (5.0–5.9),rice | banana | coconut | grapes,grapes | mango | banana | papaya | orange | rice,banana | coconut | grapes | mango,orange | apple | papaya
High,High,Low,Acidic (5.0–5.9),rice | banana | coconut | grapes,grapes | mango | banana | papaya | orange | rice,rice,orange | apple | papaya
High,High,Medium,Acidic (5.0–5.9),rice | banana | coconut | grapes,grapes | mango | banana | papaya | orange | rice,rice | banana | grapes,orange | apple | papaya
High,Low,High,Acidic (5.0–5.9),rice | banana | coconut | grapes,rice | coffee | banana | coconut | apple | grapes,banana | coconut | grapes | mango,orange | apple | papaya
High,Low,Low,Acidic (5.0–5.9),rice | banana | coconut | grapes,rice | coffee | banana | coconut | apple | grapes,rice,orange | apple | papaya
High,Low,Medium,Acidic (5.0–5.9),rice | banana | coconut | grapes,rice | coffee | banana | coconut | apple | grapes,rice | banana | grapes,orange | apple | papaya
High,Medium,High,Acidic (5.0–5.9),rice | banana | coconut | grapes,rice,banana | coconut | grapes | mango,orange | apple | papaya
High,Medium,Low,Acidic (5.0–5.9),rice | banana | coconut | grapes,rice,rice,orange | apple | papaya
High,Medium,Medium,Acidic (5.0–5.9),rice | banana | coconut | grapes,rice,rice | banana | grapes,orange | apple | papaya
Low,High,High,Acidic (5.0–5.9),rice,grapes | mango | banana | papaya | orange | rice,banana | coconut | grapes | mango,orange | apple | papaya
Low,High,Low,Acidic (5.0–5.9),rice,grapes | mango | banana | papaya | orange | rice,rice,orange | apple | papaya
Low,High,Medium,Acidic (5.0–5.9),rice,grapes | mango | banana | papaya | orange | rice,rice | banana | grapes,orange | apple | papaya
Low,Low,High,Acidic (5.0–5.9),rice,rice | coffee | banana | coconut | apple | grapes,banana | coconut | grapes | mango,orange | apple | papaya
Low,Low,Low,Acidic (5.0–5.9),rice,rice | coffee | banana | coconut | apple | grapes,rice,orange | apple | papaya
Low,Low,Medium,Acidic (5.0–5.9),rice,rice | coffee | banana | coconut | apple | grapes,rice | banana | grapes,orange | apple | papaya
Low,Medium,High,Acidic (5.0–5.9),rice,rice,banana | coconut | grapes | mango,orange | apple | papaya
Low,Medium,Low,Acidic (5.0–5.9),rice,rice,rice,orange | apple | papaya
Low,Medium,Medium,Acidic (5.0–5.9),rice,rice,rice | banana | grapes,orange | apple | papaya
Medium,High,High,Acidic (5.0–5.9),rice,grapes | mango | banana | papaya | orange | rice,banana | coconut | grapes | mango,orange | apple | papaya
Medium,High,Low,Acidic (5.0–5.9),rice,grapes | mango | banana | papaya | orange | rice,rice,orange | apple | papaya
Medium,High,Medium,Acidic (5.0–5.9),rice,grapes | mango | banana | papaya | orange | rice,rice | banana | grapes,orange | apple | papaya
Medium,Low,High,Acidic (5.0–5.9),rice,rice | coffee | banana | coconut | apple | grapes,banana | coconut | grapes | mango,orange | apple | papaya
Medium,Low,Low,Acidic (5.0–5.9),rice,rice | coffee | banana | coconut | apple | grapes,rice,orange | apple | papaya
Medium,Low,Medium,Acidic (5.0–5.9),rice,rice | coffee | banana | coconut | apple | grapes,rice | banana | grapes,orange | apple | papaya
Medium,Medium,High,Acidic (5.0–5.9),rice,rice,banana | coconut | grapes | mango,orange | apple | papaya
Medium,Medium,Low,Acidic (5.0–5.9),rice,rice,rice,orange | apple | papaya
Medium,Medium,Medium,Acidic (5.0–5.9),rice,rice,rice | banana | grapes,orange | apple | papaya
High,High,High,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,grapes | mango | pomegranate | banana | papaya | orange,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
High,High,Low,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,grapes | mango | pomegranate | banana | papaya | orange,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
High,High,Medium,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,grapes | mango | pomegranate | banana | papaya | orange,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
High,Low,High,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
High,Low,Low,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
High,Low,Medium,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
High,Medium,High,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
High,Medium,Low,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
High,Medium,Medium,Neutral (6.0–7.3),maize | rice | banana | cotton | coconut | chickpea,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
Low,High,High,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,grapes | mango | pomegranate | banana | papaya | orange,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
Low,High,Low,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,grapes | mango | pomegranate | banana | papaya | orange,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
Low,High,Medium,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,grapes | mango | pomegranate | banana | papaya | orange,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
Low,Low,High,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
Low,Low,Low,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
Low,Low,Medium,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
Low,Medium,High,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
Low,Medium,Low,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
Low,Medium,Medium,Neutral (6.0–7.3),pigeonpeas | mungbean | blackgram | lentil | kidneybeans | rice,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
Medium,High,High,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,grapes | mango | pomegranate | banana | papaya | orange,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
Medium,High,Low,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,grapes | mango | pomegranate | banana | papaya | orange,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
Medium,High,Medium,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,grapes | mango | pomegranate | banana | papaya | orange,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
Medium,Low,High,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
Medium,Low,Low,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
Medium,Low,Medium,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,chickpea | kidneybeans | pigeonpeas | mothbeans | pigeonpeas | chickpea,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
Medium,Medium,High,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,banana | coconut | watermelon | muskmelon | grapes | mango,cotton | jute | pomegranate | orange | apple | papaya
Medium,Medium,Low,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,rice | maize | chickpea | kidneybeans | pigeonpeas | cotton,cotton | jute | pomegranate | orange | apple | papaya
Medium,Medium,Medium,Neutral (6.0–7.3),maize | rice | chickpea | lentil | mungbean,maize | rice | chickpea | kidneybeans | pigeonpeas | pomegranate,maize | rice | banana | watermelon | grapes | chickpea,cotton | jute | pomegranate | orange | apple | papaya
High,High,High,Alkaline (7.4–8.5),maize | cotton | chickpea,mango | pomegranate | orange | maize,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
High,High,Low,Alkaline (7.4–8.5),maize | cotton | chickpea,mango | pomegranate | orange | maize,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
High,High,Medium,Alkaline (7.4–8.5),maize | cotton | chickpea,mango | pomegranate | orange | maize,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
High,Low,High,Alkaline (7.4–8.5),maize | cotton | chickpea,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
High,Low,Low,Alkaline (7.4–8.5),maize | cotton | chickpea,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
High,Low,Medium,Alkaline (7.4–8.5),maize | cotton | chickpea,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
High,Medium,High,Alkaline (7.4–8.5),maize | cotton | chickpea,maize | chickpea | pigeonpeas | mothbeans | pomegranate,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
High,Medium,Low,Alkaline (7.4–8.5),maize | cotton | chickpea,maize | chickpea | pigeonpeas | mothbeans | pomegranate,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
High,Medium,Medium,Alkaline (7.4–8.5),maize | cotton | chickpea,maize | chickpea | pigeonpeas | mothbeans | pomegranate,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
Low,High,High,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,mango | pomegranate | orange | maize,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Low,High,Low,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,mango | pomegranate | orange | maize,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Low,High,Medium,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,mango | pomegranate | orange | maize,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
Low,Low,High,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Low,Low,Low,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Low,Low,Medium,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
Low,Medium,High,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,maize | chickpea | pigeonpeas | mothbeans | pomegranate,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Low,Medium,Low,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,maize | chickpea | pigeonpeas | mothbeans | pomegranate,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Low,Medium,Medium,Alkaline (7.4–8.5),pigeonpeas | mungbean | blackgram | lentil | mothbeans | maize,maize | chickpea | pigeonpeas | mothbeans | pomegranate,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
Medium,High,High,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,mango | pomegranate | orange | maize,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Medium,High,Low,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,mango | pomegranate | orange | maize,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Medium,High,Medium,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,mango | pomegranate | orange | maize,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
Medium,Low,High,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Medium,Low,Low,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Medium,Low,Medium,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,chickpea | pigeonpeas | mothbeans | mungbean | pigeonpeas | chickpea,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
Medium,Medium,High,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,maize | chickpea | pigeonpeas | mothbeans | pomegranate,watermelon | muskmelon | mango | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Medium,Medium,Low,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,maize | chickpea | pigeonpeas | mothbeans | pomegranate,maize | chickpea | pigeonpeas | mothbeans | cotton,cotton | jute | pomegranate | orange | jute | chickpea
Medium,Medium,Medium,Alkaline (7.4–8.5),maize | chickpea | lentil | mungbean,maize | chickpea | pigeonpeas | mothbeans | pomegranate,maize | watermelon | chickpea | pigeonpeas,cotton | jute | pomegranate | orange | jute | chickpea
